Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Стандартный
ПТМ: 6.5
""
Время, с;Тв, С;Тст, С
267;559;208.93401870698472
268;560;209.8194038848439
269;560;210.70476386070078
270;561;211.59009153319596
271;562;212.47537985120476
272;562;213.3606218133841
273;563;214.24581046772482
274;563;215.13093891110964
275;564;216.01600028887634
276;564;216.9009877943867
277;565;217.78589466860035
278;565;218.67071419965407
279;566;219.55543972244618
280;566;220.44006461822602
281;567;221.32458231418838
282;567;222.20898628307293
283;568;223.0932700427685
284;568;223.9774271559221
285;569;224.86145122955287
286;569;225.7453359146703
287;570;226.6290749058976
288;570;227.512661941099
289;571;228.39609080101206
290;571;229.2793553088842
291;572;230.16244933011325
292;572;231.045366771893
293;573;231.92810158286227
294;573;232.81064775275865
295;574;233.6929993120762
296;574;234.57515033172717
297;575;235.45709492270765
298;575;236.3388272357675
299;576;237.22034146108388
300;576;238.10163182793883
301;577;238.98269260440043
302;577;239.86351809700795
303;578;240.7441026504605
304;578;241.6244406473096
305;579;242.5045265076551
306;579;243.38435468884472
307;580;244.26391968517714
308;580;245.14321602760856
309;581;246.02223828346257
310;581;246.90098105614368
311;582;247.77943898485387
312;582;248.6576067443125
313;583;249.53547904447953
314;583;250.4130506302821
315;584;251.29031628134373
316;584;252.16727081171746
317;584;253.04390906962112
318;585;253.9202259371766
319;585;254.79621633015142
320;586;255.67187519770346
321;586;256.5471975221286
322;587;257.4221783186117
323;587;258.2968126349796
324;588;259.17109555145737
325;588;260.04502218042774
326;589;260.91858766619237
327;589;261.7917871847368
328;589;262.6646159434971
329;590;263.53706918113016
330;590;264.4091421672857
331;591;265.28083020238137
332;591;266.1521286173804
333;592;267.02303277357146
334;592;267.893538062351
335;593;268.76363990500874
336;593;269.63333375251443
337;593;270.50261508530787
338;594;271.37147941309104
339;594;272.2399222746225
340;595;273.10793923751396
341;595;273.97552589802956
342;596;274.842677880887
343;596;275.7093908390607
344;596;276.57566045358794
345;597;277.4414824333762
346;597;278.30685251501336
347;598;279.1717664625795
348;598;280.0362200674613
349;599;280.90020914816785
350;599;281.76372955014926
351;599;282.6267771456164
352;600;283.48934783336335
353;600;284.3514375385913
354;601;285.21304221273476
355;601;286.07415783328963
356;601;286.93478040364266
357;602;287.7949059529035
358;602;288.654530535738
359;603;289.51365023220364
360;603;290.37226114758664
361;604;291.2303594122409
362;604;292.0879411814285
363;604;292.94500263516215
364;605;293.8015399780495
365;605;294.6575494391384
366;606;295.5130272717647
367;606;296.3679697534013
368;606;297.2223731855087
369;607;298.0762338933871
370;607;298.92954822603076
371;608;299.782312555983
372;608;300.63452327919344
373;608;301.4861768148762
374;609;302.33726960537024
375;609;303.18779811600064
376;610;304.03775883494154
377;610;304.8871482730808
378;610;305.7359629638855
379;611;306.58419946326956
380;611;307.431854349462
381;611;308.2789242228773
382;612;309.12540570598674
383;612;309.971295443191
384;613;310.8165901006944
385;613;311.6612863663802
386;613;312.5053809496875
387;614;313.3488705814889
388;614;314.19175201397
389;614;315.03402202050984
390;615;315.87567739556255
391;615;316.7167149545403
392;616;317.55713153369766
393;616;318.3969239900167
394;616;319.2360892010937
395;617;320.0746240650268
396;617;320.9125255003047
397;617;321.7497904456968
398;618;322.58641586014426
399;618;323.422398722652
400;619;324.2577360321824
401;619;325.09242480754915
402;619;325.9264620873131
403;620;326.7598449296785
404;620;327.5925704123907
405;620;328.4246356326346
406;621;329.25603770693397
407;621;330.08677377105255
408;622;330.91684097989514
409;622;331.74623650741023
410;622;332.5749575464936
411;623;333.4030013088926
412;623;334.23036502511184
413;623;335.05704594431893
414;624;335.8830413342523
415;624;336.70834848112906
416;624;337.53296468955386
417;625;338.35688728242906
418;625;339.1801136008654
419;625;340.00264100409356
420;626;340.8244668693769
421;626;341.6455885919245
422;626;342.4660035848052
423;627;343.2857092788631
424;627;344.10470312263294
425;628;344.9229825822566
426;628;345.74054514140084
427;628;346.5573883011749
428;629;347.3735095800499
429;629;348.1889065137784
430;629;349.00357665531453
431;630;349.81751757473535
432;630;350.6307268591627
433;630;351.44320211268587
434;631;352.2549409562847
435;631;353.06594102775387
436;631;353.87619998162745
437;632;354.68571548910404
438;632;355.4944852379733
439;632;356.3025069325423
440;633;357.1097782935632
441;633;357.9162970581608
442;633;358.72206097976186
443;634;359.52706782802386
444;634;360.33131538876523
445;634;361.13480146389566
446;635;361.93752387134737
447;635;362.73948044500696
448;635;363.5406690346475
449;636;364.34108750586165
450;636;365.1407337399951
451;636;365.93960563408064
452;637;366.7377011007727
453;637;367.53501806828274
454;637;368.3315544803147
455;638;369.1273082960014
456;638;369.92227748984146
457;638;370.7164600516363
458;639;371.5098539864284
459;639;372.3024573144394
460;639;373.0942680710086
461;639;373.8852843065333
462;640;374.6755040864075
463;640;375.4649254909631
464;640;376.2535466154101
465;641;377.04136556977835
466;641;377.8283804788589
467;641;378.61458948214647
468;642;379.3999907337818
469;642;380.18458240249515
470;642;380.9683626715496
471;643;381.7513297386847
472;643;382.53348181606157
473;643;383.3148171302071
474;644;384.0953339219594
475;644;384.8750304464137
476;644;385.65390497286774
477;645;386.4319557847688
478;645;387.2091811796603
479;645;387.9855794691291
480;645;388.7611489787532
481;646;389.5358880480493
482;646;390.30979503042147
483;646;391.0828682931101
484;647;391.85510621714036
485;647;392.6265071972722
486;647;393.3970696419499
487;648;394.1667919732521
488;648;394.93567262684235
489;648;395.7037100519202
490;648;396.4709027111718
491;649;397.23724908072177
492;649;398.00274765008487
493;649;398.7673969221181
494;650;399.53119541297303
495;650;400.29414165204867
496;650;401.0562341819443
497;651;401.817471558413
498;651;402.5778523503151
499;651;403.33737513957226
500;651;404.0960385211214
501;652;404.8538411028694
502;652;405.61078150564776
503;652;406.3668583631676
504;653;407.122070321975
505;653;407.8764160414065
506;653;408.62989419354506
507;654;409.3825034631758
508;654;410.1342425477427
509;654;410.8851101573049
510;654;411.6351050144938
511;655;412.3842258544697
512;655;413.13247142487955
513;655;413.87984048581416
514;656;414.62633180976616
515;656;415.37194418158765
516;656;416.11667639844904
517;656;416.86052726979676
518;657;417.6034956173123
519;657;418.34558027487117
520;657;419.08678008850165
521;658;419.8270939163443
522;658;420.56652062861133
523;658;421.3050591075462
524;658;422.04270824738364
525;659;422.7794669543099
526;659;423.51533414642245
527;659;424.2503087536909
528;660;424.98438971791734
529;660;425.71757599269745
530;660;426.4498665433813
531;660;427.18126034703437
532;661;427.9117563923992
533;661;428.6413536798566
534;661;429.3700512213875
535;661;430.0978480405347
536;662;430.82474317236506
