Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Стандартный
ПТМ: 4.8
""
Время, с;Тв, С;Тст, С
359;603;349.82549636441354
360;603;350.7834392514752
361;604;351.7402018529351
362;604;352.69578031210995
363;604;353.65017080983523
364;605;354.6033695642665
365;605;355.5553728306825
366;606;356.50617690129116
367;606;357.45577810503653
368;606;358.40417280740826
369;607;359.3513574102524
370;607;360.2973283515845
371;608;361.24208210540473
372;608;362.18561518151387
373;608;363.127924125332
374;609;364.0690055177183
375;609;365.00885597479294
376;610;365.9474721477603
377;610;366.8848507227341
378;610;367.8209884205638
379;611;368.7558819966632
380;611;369.68952824084
381;611;370.6219239771268
382;612;371.5530660636143
383;612;372.4829513922855
384;613;373.4115768888511
385;613;374.338939512587
386;613;375.2650362561726
387;614;376.1898641455308
388;614;377.1134202396694
389;614;378.03570163052336
390;615;378.95670544279903
391;615;379.8764288338192
392;616;380.7948689933695
393;616;381.71202314354616
394;616;382.6278885386048
395;617;383.5424624648107
396;617;384.45574224028996
397;617;385.36772521488194
398;618;386.27840876999267
399;618;387.18779031844974
400;619;388.09586730435797
401;619;389.0026372029562
402;619;389.90809752047517
403;620;390.81224579399645
404;620;391.7150795913125
405;620;392.6165965107873
406;621;393.51679418121853
407;621;394.41567026170014
408;622;395.3132224414866
409;622;396.2094484398573
410;622;397.10434600598205
411;623;397.9979129187881
412;623;398.89014698682706
413;623;399.7810460481436
414;624;400.67060797014403
415;624;401.5588306494667
416;624;402.4457120118526
417;625;403.33125001201665
418;625;404.2154426335205
419;625;405.09828788864513
420;626;405.979783818265
421;626;406.8599284917225
422;626;407.73872000670326
423;627;408.6161564891122
424;627;409.49223609295007
425;628;410.36695700019106
426;628;411.24031742066063
427;628;412.11231559191435
428;629;412.9829497791171
429;629;413.8522182749234
430;629;414.7201193993575
431;630;415.5866514996949
432;630;416.4518129503441
433;630;417.31560215272896
434;631;418.17801753517153
435;631;419.0390575527756
436;631;419.89872068731086
437;632;420.7570054470974
438;632;421.6139103668909
439;632;422.469434007768
440;633;423.32357495701274
441;633;424.1763318280031
442;633;425.02770326009795
443;634;425.87768791852477
444;634;426.7262844942677
445;634;427.57349170395605
446;635;428.4193082897532
447;635;429.26373301924593
448;635;430.1067646853345
449;636;430.94840210612256
450;636;431.788644124808
451;636;432.6274896095738
452;637;433.4649374534798
453;637;434.3009865743543
454;637;435.1356359146862
455;638;435.96888444151773
456;638;436.8007311463374
457;638;437.63117504497313
458;639;438.460215177486
459;639;439.2878506080642
460;639;440.11408042491746
461;639;440.93890374017144
462;640;441.762319689763
463;640;442.58432743333526
464;640;443.404926154133
465;641;444.2241150588991
466;641;445.0418933777702
467;641;445.85826036417313
468;642;446.67321529472224
469;642;447.4867574691157
470;642;448.2988862100332
471;643;449.1096008630333
472;643;449.91890079645145
473;643;450.7267854012978
474;644;451.53325409115575
475;644;452.33830630208024
476;644;453.1419414924968
477;645;453.94415914310036
478;645;454.7449587567546
479;645;455.54433985839137
480;645;456.3423019949104
481;646;457.13884473507915
482;646;457.9339676694333
483;646;458.7276704101763
484;647;459.5199525910807
485;647;460.31081386738833
486;647;461.1002539157114
487;648;461.8882724339338
488;648;462.674869141112
489;648;463.46004377737677
490;648;464.2437961038348
491;649;465.02612590247065
492;649;465.8070329760484
493;649;466.5865171480142
494;650;467.3645782623985
495;650;468.14121618371826
496;650;468.91643079688015
497;651;469.69022200708287
498;651;470.46258973972044
499;651;471.23353394028527
500;651;472.00305457427135
501;652;472.77115162707764
502;652;473.5378251039119
503;652;474.30307502969424
504;653;475.0669014489607
505;653;475.8293044257679
506;653;476.5902840435964
507;654;477.3498404052556
508;654;478.1079736327878
509;654;478.86468386737283
510;654;479.6199712692327
511;655;480.3738360175363
512;655;481.12627831030443
513;655;481.8772983643148
514;656;482.6268964150071
515;656;483.37507271638833
516;656;484.1218275409383
517;656;484.8671611795148
518;657;485.61107394125986
519;657;486.35356615350474
520;657;487.09463816167636
521;658;487.834290329203
522;658;488.5725230374205
523;658;489.30933668547834
524;658;490.0447316902462
525;659;490.7787084862199
526;659;491.5112675254285
527;659;492.2424092773406
528;660;492.9721342287712
529;660;493.70044288378847
530;660;494.4273357636206
531;660;495.1528134065634
532;661;495.87687636788667
533;661;496.5995252197422
534;661;497.32076055107086
535;661;498.04058296751
536;662;498.758993091301
537;662;499.47599156119736
538;662;500.19157903237215
539;663;500.905756176326
540;663;501.6185236807953
541;663;502.32988224965993
542;663;503.0398326028518
543;664;503.74837547626305
544;664;504.45551162165475
545;664;505.16124180656493
546;664;505.8655668142176
547;665;506.5684874434314
548;665;507.2700045085287
549;665;507.9701188392439
550;666;508.6688312806333
551;666;509.36614269298366
552;666;510.06205395172174
553;666;510.7565659473238
554;667;511.4496795852249
555;667;512.1413957857285
556;667;512.8317154839164
557;667;513.5206396295583
558;668;514.208169187022
559;668;514.8943051351831
560;668;515.5790484673355
561;668;516.2624001911015
562;669;516.9443613283422
563;669;517.6249329150681
564;669;518.3041160013497
565;670;518.981911651228
566;670;519.6583209426254
567;670;520.3333449672573
568;670;521.0069848305423
569;671;521.6792416515136
570;671;522.350116562731
571;671;523.0196107101915
572;671;523.6877252532412
573;672;524.3544613644872
574;672;525.019820229709
575;672;525.6838030477708
576;672;526.3464110305332
577;673;527.007645402766
578;673;527.6675074020598
579;673;528.3259982787389
580;673;528.9831192957737
581;674;529.6388717286936
582;674;530.2932568654996
583;674;530.9462760065775
584;674;531.5979304646107
585;675;532.248221564494
586;675;532.8971506432463
587;675;533.5447190499248
588;675;534.1909281455381
589;676;534.8357793029604
590;676;535.4792739068454
591;676;536.12141335354
592;676;536.7621990509991
593;677;537.4016324186997
594;677;538.0397148875554
595;677;538.6764478998313
596;677;539.3118329090584
597;678;539.945871379949
598;678;540.578564788312
599;678;541.2099146209674
600;678;541.8399223756627
601;679;542.4685895609878
602;679;543.095917696291
603;679;543.7219083115951
604;679;544.3465629475133
605;680;544.9698831551653
606;680;545.5918704960941
607;680;546.2125265421821
608;680;546.8318528755683
609;681;547.449851088565
610;681;548.0665227835748
611;681;548.6818695730079
612;681;549.2958930791998
613;682;549.9085949343283
614;682;550.5199767803318
615;682;551.1300402688272
616;682;551.7387870610276
617;683;552.3462188276609
618;683;552.9523372488885
619;683;553.5571440142236
620;683;554.1606408224501
621;684;554.7628293815418
622;684;555.3637114085815
623;684;555.9632886296803
624;684;556.5615627798975
625;684;557.15853560316
626;685;557.7542088521826
627;685;558.3485842883881
628;685;558.9416636818273
629;685;559.5334488111001
630;686;560.1239414632759
631;686;560.7131434338145
632;686;561.3010565264876
633;686;561.8876825532999
634;687;562.4730233344105
635;687;563.0570806980551
636;687;563.6398564804673
637;687;564.2213525258015
638;688;564.8015706860548
639;688;565.3805128209897
640;688;565.9581807980568
641;688;566.534576492318
642;688;567.1097017863696
643;689;567.6835585702656
644;689;568.2561487414416
645;689;568.8274742046385
